Model Type,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,281923,360731,89096,73905,50454
IntensityFree,281923,360731,89096,73905,50454
NHP,281923,360731,89096,73905,50454
RMTPP,281923,360731,89096,73905,50454
SAHP,281923,360731,89096,73905,50454
THP,N/A,360731,N/A,N/A,50454
