Model Type,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,0.73,-4.11,-2.16,1.04,0.53
IntensityFree,-21.22,-1074.87,-2.59,-0.84,-2.40
NHP,0.37,-3.82,-2.16,0.98,0.57
RMTPP,-2.20,-4.22,-2.71,-1.13,0.32
SAHP,-2.15,-4.12,-2.43,0.25,0.32
THP,N/A,-4.14,N/A,N/A,0.35
