Model Type,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,6454,9000,1401,1300,1400
IntensityFree,6454,9000,1401,1300,1400
NHP,6454,9000,1401,1300,1400
RMTPP,6454,9000,1401,1300,1400
SAHP,6454,9000,1401,1300,1400
THP,N/A,9000,N/A,N/A,1400
