Model Type,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,45.78,62.60,47.87,73.34,187.01
IntensityFree,22836.98,26162.73,7216.33,7886.08,8177.73
NHP,1078.70,1555.77,1223.96,1442.50,3236.19
RMTPP,9165.19,18261.73,4497.08,5537.16,8181.94
SAHP,6341.51,8428.72,4781.08,4546.79,7505.58
THP,N/A,8490.85,N/A,N/A,7465.92
