Model Type,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,134816,13462,42796,60802,20372
IntensityFree,27930,26253,28704,28059,7444
NHP,234528,58246,60716,234786,232980
RMTPP,37552,697,143682,1187,35998
SAHP,8976,10038,19660,5970,2476
THP,N/A,3644,N/A,N/A,118184
