,amazon,retweet,stackoverflow,taobao,taxi
AttNHP,0.56,1.39,1.1,0.76,0.97
IntensityFree,3212.52,2390.77,1815.69,2738.91,4498.24
NHP,219.94,246.78,148.87,140.94,134.07
RMTPP,1918.34,3360.16,687.26,542.13,1807.79
SAHP,162.34,224.3,83.04,93.88,114.91
THP,,257.64,,,110.93
